frame_id,class_name,count,total_objects
frame_25,pepsi_med,7,64
frame_25,sprite_small,4,64
frame_25,coke_med,5,64
frame_25,coke_small,6,64
frame_25,kick_med,3,64
frame_25,coke_v_med,3,64
frame_25,pepsi_big,3,64
frame_25,dew_med,6,64
frame_25,7up_med,3,64
frame_25,a&w_small,7,64
frame_25,fanta_straw_big,1,64
frame_25,empty,1,64
frame_26,coke_z_big,4,63
frame_26,anw_med,6,63
frame_26,coke_v_big,5,63
frame_26,pepsi_med,7,63
frame_26,sprite_small,4,63
frame_26,coke_med,5,63
frame_26,coke_small,6,63
frame_26,kick_med,3,63
frame_26,coke_v_med,3,63
frame_26,pepsi_big,3,63
frame_26,dew_med,6,63
frame_26,7up_med,2,63
frame_26,a&w_small,7,63
frame_26,fanta_straw_big,1,63
frame_26,empty,1,63
frame_27,coke_z_big,4,62
frame_27,anw_med,6,62
frame_27,coke_v_big,5,62
frame_27,pepsi_med,6,62
frame_27,sprite_small,4,62
frame_27,coke_med,5,62
frame_27,coke_small,6,62
frame_27,kick_med,3,62
frame_27,coke_v_med,3,62
frame_27,pepsi_big,3,62
frame_27,dew_med,6,62
frame_27,7up_med,2,62
frame_27,a&w_small,7,62
frame_27,fanta_straw_big,1,62
frame_27,empty,1,62
frame_28,coke_z_big,4,63
frame_28,anw_med,6,63
frame_28,coke_v_big,5,63
frame_28,pepsi_med,6,63
frame_28,sprite_small,4,63
frame_28,coke_med,5,63
frame_28,coke_small,6,63
frame_28,kick_med,4,63
frame_28,coke_v_med,3,63
frame_28,pepsi_big,3,63
frame_28,dew_med,6,63
frame_28,7up_med,2,63
frame_28,a&w_small,7,63
frame_28,fanta_straw_big,1,63
frame_28,empty,1,63
frame_29,coke_z_big,4,64
frame_29,anw_med,6,64
frame_29,coke_v_big,5,64
frame_29,pepsi_med,7,64
frame_29,sprite_small,4,64
frame_29,coke_med,5,64
frame_29,coke_small,6,64
frame_29,kick_med,4,64
frame_29,coke_v_med,3,64
frame_29,pepsi_big,3,64
frame_29,dew_med,6,64
frame_29,7up_med,2,64
frame_29,a&w_small,7,64
frame_29,fanta_straw_big,1,64
frame_29,empty,1,64
frame_30,coke_z_big,4,64
frame_30,anw_med,6,64
frame_30,coke_v_big,5,64
frame_30,pepsi_med,7,64
frame_30,sprite_small,4,64
frame_30,coke_med,5,64
frame_30,coke_small,6,64
frame_30,kick_med,4,64
frame_30,coke_v_med,3,64
frame_30,pepsi_big,3,64
frame_30,dew_med,6,64
frame_30,7up_med,2,64
frame_30,a&w_small,7,64
frame_30,fanta_straw_big,1,64
frame_30,empty,1,64
frame_31,coke_z_big,4,65
frame_31,anw_med,6,65
frame_31,coke_v_big,5,65
frame_31,pepsi_med,7,65
frame_31,sprite_small,4,65
frame_31,coke_med,5,65
frame_31,coke_small,6,65
frame_31,kick_med,4,65
frame_31,coke_v_med,3,65
frame_31,pepsi_big,3,65
frame_31,dew_med,6,65
frame_31,7up_med,3,65
frame_31,a&w_small,7,65
frame_31,fanta_straw_big,1,65
frame_31,empty,1,65
frame_32,coke_z_big,4,64
frame_32,anw_med,6,64
frame_32,coke_v_big,5,64
frame_32,pepsi_med,6,64
frame_32,sprite_small,4,64
frame_32,coke_med,5,64
frame_32,coke_small,6,64
frame_32,kick_med,4,64
frame_32,coke_v_med,3,64
frame_32,pepsi_big,3,64
frame_32,dew_med,6,64
frame_32,7up_med,3,64
frame_32,a&w_small,7,64
frame_32,fanta_straw_big,1,64
frame_32,empty,1,64
frame_33,coke_z_big,4,63
frame_33,anw_med,6,63
frame_33,coke_v_big,5,63
frame_33,pepsi_med,6,63
frame_33,sprite_small,4,63
frame_33,coke_med,5,63
frame_33,coke_small,6,63
